name,subtitle,description,brand,sku,category_name,price,mrp,sale_price,stock_quantity,weight,length,width,height,sizes,colors,tags,box_contents,usage_instructions,care_instructions,safety_notes,image_urls,video_url,is_featured,shipping_required
"Premium Wireless Headphones","Studio-Quality Sound Experience","Professional-grade wireless headphones with active noise cancellation, 30-hour battery life, and premium leather padding. Perfect for music production, gaming, and daily commuting.","AudioTech Pro","ATP-WH-001","Electronics","199.99","249.99","179.99","25","0.65","20","18","8","One Size","Black|White|Silver|Rose Gold","wireless|premium|noise-cancelling|bluetooth|studio","Headphones|USB-C Charging Cable|3.5mm Audio Cable|Carrying Case|User Manual|Warranty Card","Charge for 2 hours before first use|Download AudioTech app for custom EQ|Press power button for 3 seconds to pair","Clean ear cups with dry microfiber cloth|Store in provided case when not in use|Avoid exposure to extreme temperatures","Keep volume at safe levels below 85dB|Do not use while driving|Charge only with provided cable","https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500,https://images.unsplash.com/photo-1484704849700-f032a568e944?w=500","https://www.youtube.com/watch?v=dQw4w9WgXcQ","true","true"
"Organic Cotton T-Shirt","Sustainable Everyday Comfort","100% GOTS-certified organic cotton t-shirt with modern relaxed fit. Soft, breathable, and ethically manufactured. Perfect for casual wear and layering.","EcoWear","EW-TS-002","Fashion","29.99","39.99","","150","0.25","70","50","2","XS|S|M|L|XL|XXL","White|Black|Navy|Gray|Olive|Burgundy","organic|sustainable|cotton|casual|eco-friendly","T-Shirt|Care Instructions Card|Brand Story Booklet","Machine wash cold with like colors|Tumble dry low heat|Iron on medium if needed","Wash inside out to preserve print|Use eco-friendly detergent|Hang dry when possible","Check size chart before ordering|May shrink 2-3% after first wash|Colors may vary slightly from photos","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=500,https://images.unsplash.com/photo-1583743814966-8936f37f4678?w=500","","false","true"
"Smart Fitness Tracker","Your Health Companion","Advanced fitness tracker with heart rate monitoring, GPS tracking, sleep analysis, and 7-day battery life. Water-resistant up to 50 meters with smartphone notifications.","FitLife","FL-ST-003","Electronics","149.99","199.99","129.99","75","0.08","4","2","1","S|M|L","Black|Blue|Pink|Green","fitness|smartwatch|health|gps|waterproof","Fitness Tracker|Silicone Band|Magnetic Charger|Quick Start Guide|Fitness App Access Code","Download FitLife app and create account|Charge device fully before first use|Wear snugly but comfortably on wrist","Clean with damp cloth after workouts|Dry thoroughly before charging|Replace band every 12-18 months","Not suitable for diving or high-pressure water activities|Consult doctor if you have pacemaker|Remove if skin irritation occurs","https://images.unsplash.com/photo-1544117519-31a4b719223d?w=500,https://images.unsplash.com/photo-1434494878577-86c23bcb06b9?w=500","","true","true"
"Ceramic Coffee Mug Set","Artisan Crafted Collection","Set of 4 handcrafted ceramic mugs with unique glazed finish. Microwave and dishwasher safe. Each mug holds 12oz and features ergonomic handle design.","HomeArt","HA-CM-004","Home & Garden","49.99","69.99","","40","1.2","10","8","10","12oz","Sage Green|Ocean Blue|Sunset Orange|Charcoal Gray","ceramic|handmade|coffee|kitchen|artisan","4 Ceramic Mugs|Gift Box|Care Instructions|Artisan Story Card","Hand wash recommended for longevity|Microwave safe up to 2 minutes|Allow to cool before washing","Avoid sudden temperature changes|Use non-abrasive cleaners|Stack carefully to prevent chipping","Handle with care - ceramic can break if dropped|Hot contents - use handle|Not suitable for stovetop use","https://images.unsplash.com/photo-1514228742587-6b1558fcf93a?w=500,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500","","false","true"
"Yoga Mat Premium","Non-Slip Eco-Friendly","6mm thick premium yoga mat made from natural rubber with excellent grip and cushioning. Eco-friendly, non-toxic, and perfect for all yoga styles and fitness routines.","ZenFlow","ZF-YM-005","Sports","79.99","99.99","69.99","60","2.5","183","61","0.6","Standard 6mm","Purple|Teal|Black|Pink|Natural","yoga|fitness|eco-friendly|non-slip|premium","Yoga Mat|Carrying Strap|Storage Bag|Yoga Pose Guide|Care Instructions","Unroll and air out for 24 hours before first use|Use yoga towel for extra grip during hot yoga|Store rolled up in dry place","Clean with mild soap and water after each use|Air dry completely before storing|Avoid direct sunlight for extended periods","Ensure mat is completely dry before use to prevent slipping|Check for wear and replace if damaged|Not suitable for outdoor use on rough surfaces","https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=500,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500","","false","true"
"Stainless Steel Water Bottle","Insulated 24-Hour Cold","Double-wall vacuum insulated stainless steel bottle keeps drinks cold for 24 hours or hot for 12 hours. BPA-free with leak-proof design and wide mouth opening.","HydroMax","HM-WB-006","Sports","34.99","44.99","","200","0.45","26","7","7","500ml|750ml|1000ml","Matte Black|Steel|Ocean Blue|Forest Green|Coral Pink","insulated|stainless-steel|bpa-free|leak-proof|eco-friendly","Water Bottle|Cleaning Brush|Carabiner Clip|User Manual","Wash before first use|Pre-chill or pre-heat for best performance|Hand wash recommended","Use bottle brush for thorough cleaning|Dry completely before storing|Replace cap gasket annually","Do not put in freezer when full|Hot liquids can cause burns - handle carefully|Not suitable for carbonated beverages","https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=500,https://images.unsplash.com/photo-1523362628745-0c100150b504?w=500","","false","true"
"Bluetooth Portable Speaker","360Â° Surround Sound","Compact wireless speaker with 360-degree sound, 20-hour battery life, and IPX7 waterproof rating. Perfect for outdoor adventures, parties, and home use.","SoundWave","SW-BS-007","Electronics","89.99","119.99","79.99","80","0.8","12","12","15","Compact","Midnight Black|Ocean Blue|Sunset Red|Arctic White","bluetooth|waterproof|portable|wireless|outdoor","Bluetooth Speaker|USB-C Charging Cable|3.5mm Audio Cable|Quick Start Guide|Warranty Card","Charge fully before first use|Pair via Bluetooth settings|Download SoundWave app for EQ settings","Wipe clean with damp cloth|Dry thoroughly if exposed to water|Store in cool, dry place","IPX7 rated but not suitable for submersion|Keep away from extreme heat|Charge only with provided cable","https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=500,https://images.unsplash.com/photo-1545454675-3531b543be5d?w=500","","true","true"
"LED Desk Lamp","Adjustable Smart Lighting","Modern LED desk lamp with touch controls, USB charging port, and adjustable color temperature (3000K-6500K). Energy-efficient with memory function and timer.","BrightSpace","BS-DL-008","Home & Garden","69.99","89.99","59.99","45","1.1","45","20","15","Adjustable","White|Black|Silver","led|adjustable|smart|energy-efficient|modern","LED Desk Lamp|Power Adapter|User Manual|Touch Control Guide","Plug into wall outlet|Touch base to turn on/off|Swipe to adjust brightness","Clean with dry microfiber cloth|Avoid water contact|Replace LED panel if flickering occurs","Do not look directly into LED light|Ensure stable placement|Use only provided power adapter","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=500,https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=500","","false","true"
"Gaming Mechanical Keyboard","RGB Backlit Pro","Professional gaming keyboard with Cherry MX Blue switches, customizable RGB backlighting, and programmable macro keys. Anti-ghosting technology with USB passthrough.","GameForce","GF-KB-009","Electronics","159.99","199.99","139.99","35","1.8","44","13","4","Full Size","Black RGB|White RGB","gaming|mechanical|rgb|programmable|cherry-mx","Mechanical Keyboard|USB Cable|Keycap Puller|Software Installation Guide|Extra Keycaps","Install GameForce software for customization|Connect via USB|Adjust RGB settings in software","Use compressed air to clean between keys|Remove keycaps for deep cleaning|Avoid liquid spills","Loud clicking may disturb others|Heavy pressure not required|Keep software updated for best performance","https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=500,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=500","","true","true"
"Skincare Gift Set","Complete Hydration Routine","Luxury skincare set including cleanser, toner, serum, and moisturizer. Formulated with hyaluronic acid and vitamin C for all skin types. Cruelty-free and paraben-free.","GlowLux","GL-SS-010","Beauty","129.99","179.99","99.99","30","0.8","25","20","8","Travel Size|Full Size","Rose Gold Packaging","skincare|luxury|hydration|vitamin-c|cruelty-free","Gentle Cleanser 150ml|Hydrating Toner 200ml|Vitamin C Serum 30ml|Daily Moisturizer 50ml|Luxury Gift Box|Routine Guide","Patch test before first use|Use cleanser morning and evening|Apply serum before moisturizer","Store in cool, dry place|Use within 12 months of opening|Avoid direct sunlight","For external use only|Discontinue if irritation occurs|Keep out of reach of children","https://images.unsplash.com/photo-1556228578-8c89e6adf883?w=500,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=500","","true","true"
